index,name,rating,review_count,price,zip_code,id
461,Kabul Express STL,5.0,77,$,63125,6EKawoqscJ0IYNjtfpd0_w
462,Byrd & Barrel,4.0,352,$$,63118,IzYE3fXqNgHIOFmY7nVQvA
463,Kitchen House Coffee,4.5,31,$$,63111,RVD0t9-pUTbcypj45FBsNg
464,Whisk: a Sustainable Bakeshop,4.5,120,$,63118,j3E_vGw47XpiEgTr-KiJUg
465,Truc Lam,4.0,151,$,63116,iay91CweEOzRIW6wjcOjuA
467,Taqueria El Bronco,4.0,211,$,63118,gku-vC4YB5c7ZuNyLhjNbQ
469,The Silver Ballroom,4.5,78,$,63116,fdG0BNPv24psbe0_KtlwLQ
470,Teatopia,5.0,60,$,63118,L4JFBsgfLZIL9SJ5uxXgJw
471,Riverside Diner,5.0,27,$,63111,BLvL1pUrgpzt2bJHRQ5yvQ
472,Neveria La Vallesana,3.5,349,$,63118,eORwNQsgjeJGrUPnQFJ9xA
473,Tower Taco,4.0,181,$,63118,kOOiEcy0UaWLwCPgZ95nmg
474,Urban Eats,4.0,82,$,63118,71q2UD1A7KL2q4AA8mPobQ
475,Gooseberries,4.5,76,$$,63118,ldBhNb6DnmretKOCLhjZdA
476,Royal Kebab Restaurant,4.0,41,$,63116,oufNYOeHRjJPhAng9L6Mxw
477,Zlatno Zito,5.0,30,$,63116,jNomt0h259DYpwkrVslqTA
478,River Des Peres Yacht Club,4.5,38,$,63111,7m9QY137WtxvdhgSUdetaw
484,Pi Pizzeria - Delmar Loop,4.0,605,$$,63112,MaYb7qMN6BomP1zQGj3Wjg
493,Fork & Stix,4.0,311,$$,63112,ANTj0UD-OS7Zod3mulUg6w
496,Ranoush,4.0,328,$$,63130,N_7nJa49ueh_0vPDRP3Jew
498,Mi Ranchito,4.0,339,$$,63130,Uy0r4bzRmY5LFtDfzNgkag
499,Fitz's,3.5,622,$$,63130,-kHHi8y4kaTI6WUVdJSdvQ
501,Kayak's,4.0,271,$,63130,p6JxfR9ebAlIlpm674F-dg
503,PuraVegan Cafe & Yoga,4.5,131,$$,63112,-rCB_kCW-u84S-CQir-lng
506,Tavolo V,4.0,204,$$,63112,-W0tnXYJ4WuxLjzmbwlVAQ
509,Blueberry Hill Restaurant & Bar,3.5,565,$$,63130,sXaiyPC1fT6ESl-6t7eSXg
531,Evangeline's Bistro and Music House,4.0,305,$$,63108,KhKcgF3zi6J_M6HBzkFkLg
541,Chef Ma's Chinese Gourmet Restaurant,4.0,174,$$,63114,_pzBF2sn806Zm-tRLCPXEg
542,Chimi's Fresh-Mex,4.5,106,$$,63114,Vv5Fxre786NpKFR_3OduKw
543,Haveli Indian Restaurant,4.0,303,$$,63132,tMMk972zper40EfQo8v0sg
544,Tai Ke,4.5,246,$$,63132,EF_9W5s9lFSjv4forNxwng
545,Chuck A Burger,4.5,105,$,63114,U0sjKBnSMN5SnWd_xU4GrQ
546,Sides Of Seoul,5.0,75,$,63132,tc3g7TdhTgGqI8D8Rj_10w
547,Cate Zone Chinese Cafe,4.5,197,$$,63130,S87d-VjLFY8ZMoj6MUo_tg
548,O! Wing Plus,4.5,110,$,63132,SNQ8sn7R9_e92GWKMCNSgg
549,Taqueria Durango,4.0,180,$,63132,4lm1dUvP7GPgyJqUlLxcYg
550,Dao Tien,4.0,190,$,63132,NYcXibc_RzSI7wgGbidi8w
