,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender
141,0,1Q3oaJahyGRogDWgpo7PIw,mxB31t9JBrQRCbEYcbqG5g,5,Jennifer L.,jennifer,Female
142,1,1Q3oaJahyGRogDWgpo7PIw,RpZFmj4ds7mKVJ_ih7S-YQ,3,John T.,john,Male
143,2,1Q3oaJahyGRogDWgpo7PIw,WADneUo4LkMcdeIvgVKVcw,5,Matthew R.,matthew,Male
145,1,1RRD6Ub4QEW9ZeyaBMx5jQ,EqJSLsIUT_urEPLcJt0iDA,2,Suzanne K.,suzanne,Female
147,0,1Xfz59j6iyGH6Z-GtSJblA,OFn_17VpyU09jojsgkfaAw,5,Raquel C.,raquel,Female
148,1,1Xfz59j6iyGH6Z-GtSJblA,ex8G-5aONaCULI3F7vykXA,4,James D.,james,Male
149,2,1Xfz59j6iyGH6Z-GtSJblA,yo9at6VUp9Y9IOv6Dl8y3w,1,George A.,george,Male
150,0,1ZKbUeFAs0ltSnAYq4ELKw,uRMoImUAvTYJR3pbwqoQQA,5,Mitchell G.,mitchell,Male
151,1,1ZKbUeFAs0ltSnAYq4ELKw,aRYn5JQUCOqhnqLGGo4_Xg,5,Kamilla B.,kamilla,Female
152,2,1ZKbUeFAs0ltSnAYq4ELKw,Pfu5mAb8jcJuv2m1X23ISg,5,Marge W.,marge,Female
153,0,1aD88qNRb08LGBkl84GQTA,gSdb3HkFAUwXIDC-HsBHeQ,5,Sharon Y.,sharon,Female
154,1,1aD88qNRb08LGBkl84GQTA,HYWONvT5Z0Z2E_Djwd2umQ,5,Eric P.,eric,Male
155,2,1aD88qNRb08LGBkl84GQTA,1EI9jYydmiW7g2AzrcM8Nw,4,Kristina N.,kristina,Female
157,1,1fYBZCQh_fI8XUOpZ15Vag,mLJNZvTOpBrL6wYRlRBmGA,4,Tiffany V.,tiffany,Female
158,2,1fYBZCQh_fI8XUOpZ15Vag,kgJP5K13jG6gNFcgs_bv1A,5,Ceylan T.,ceylan,Female
159,0,1go9HCgJQ-Ndk7_Kxi-x8g,k0i0tIzYNEpkYYaDK0M9uw,5,Lauren G.,lauren,Female
160,1,1go9HCgJQ-Ndk7_Kxi-x8g,42aZp0lSFfc_0grZ1q0ffw,5,Isabel H.,isabel,Female
161,2,1go9HCgJQ-Ndk7_Kxi-x8g,ZsonwhiKmr4dQAvLVfi87g,5,Miche R.,miche,Female
162,0,1hsW2pGSSDkq65p03e_ACQ,2LEaYKR7NbZm4ZSfV2XaMA,5,Delilah B.,delilah,Female
163,1,1hsW2pGSSDkq65p03e_ACQ,UpmLK5SqpIFf7EFU0qH3vQ,5,Janice M.,janice,Female
166,1,1j93J41t3Ni40IbrULfICw,BNxkCdxyjQsKfViCS_CQkw,4,Anton T.,anton,Male
168,0,1lU3jq0jI527nlRC-aTKXg,mC7aQeC2_FmCH78z40n7ng,4,Mercedes C.,mercedes,Female
169,1,1lU3jq0jI527nlRC-aTKXg,bQw4lAL98uH5pNo4KyHE0g,4,Shoshana R.,shoshana,Female
170,2,1lU3jq0jI527nlRC-aTKXg,b2PPQi6_pmvIQ93__fSvJQ,1,Gabrielle M.,gabrielle,Female
