index,name,rating,review_count,price,zip_code,id
1397,St. Louis Pizza & Wings,3.5,13,$$,63128.0,6NTEbrpMMfZydHUE1VoSQw
1399,America's Incredible Pizza Company,2.5,78,$$,63126.0,qAFVEkIEo7KLLdM4z7h-JA
1400,Cellar House,4.5,40,$$,63129.0,5dKDUPQaC7aMxqzMUsKXIg
1402,Zito Deli,5.0,45,$,63125.0,uEPuXaBX0n37vmrYAe9kwQ
1403,Frankie Gs Grill & Bar,3.5,82,$$,63129.0,6JekbYlD5cGNBEEhZRHKAQ
1404,Sushi Sake,4.0,132,$$,63129.0,ZTh7O_meLI31wi1gA_nk8Q
1405,Oberweis Ice Cream and Dairy Store,4.0,30,$$,63129.0,UugJ2WQFoV-rNFqZ4QyrHg
1406,Hunan Peking,4.0,40,$,63129.0,96W0AFA2zNXf7WIpMyT6_g
1407,Garvey's Grill,3.5,57,$$,63129.0,1EdfURQCj75UbcLPh9rdSw
1408,Oakville  Sports Pub,4.5,33,$,63129.0,xlzYL_Dwm7RdQzhC0FQgkw
1409,Lemay Wok,4.0,71,$,63129.0,bPsfG2mW_21Z03sbEKwUXQ
1410,Bill Gianino's Restaurant,3.5,61,$$,63129.0,B1L6-hN63I1S_cAijI5Otg
1411,Las Fuentes Mexican Restaurant,3.5,61,$$,63129.0,JQXKCQPIeoxzy6x119X6mQ
1412,Papa Murphy's,4.5,14,$$,63129.0,7jAhxpERKakOQsxepweZsA
1413,Pretzel Pretzel,4.0,34,$,63129.0,cQUNfooF0poRMkqAx6Dkdw
1414,Pieology Pizzeria,4.0,85,$,63129.0,C0uRhn7nnHBATrwsCJ10Lw
1415,OSP Tap Haus,4.0,46,$$,63129.0,TzNd_rW2-ckIjtKnVX88kQ
1418,Rich & Charlie's,3.5,65,$$,63129.0,3f6HTECaJK4vQr4VSU1xsQ
1419,Icing Cafe,4.0,13,$$,63129.0,S0UPup0pLE9knjrwc-kAdw
1420,Rizzo's Italian Restaurant,3.5,76,$$,63129.0,Nk4ed0CzUUgrTa59YRWkkg
1421,Blarney Stone Sports Bar & Grill,3.0,54,$,63129.0,nI0pvN5S_4nloj5KYtnFnQ
1422,Oakville Bistro,3.0,37,$$,63129.0,SsLpA8PaS7CUidE5o6VoEg
1423,Perk It Up,4.5,12,$,63129.0,WDaJ3F7PmH6yoLxlNih1Hw
1424,La Fiesta Mexican Resturant,3.5,50,$,63125.0,t2NJiSKdFhojJp-7E68zFw
1425,Rich's Frozen Custard,4.0,17,$,63129.0,Bb4g1Kf1FoDe4sLjumh31A
1430,McAlister's Deli,3.0,39,$,63125.0,BQUsaSqj4Fs1KZpPWZjaSA
1433,Shivers,5.0,3,$,63129.0,oBuUQOW0Dpzenj4q6yvdFg
1434,Buffalo Wild Wings,2.5,71,$$,63129.0,4-f8CCdf-rEXXSaQXM6d8Q
1436,Hooters,2.5,52,$$,63125.0,1f9oM2KnjCTNmAGU4lsPHA
1437,St Louis Pizza & Wings,3.5,16,$$,63129.0,Qx2mHzBChsus60Mje4BQog
1438,Jack in the Box,3.0,10,$,63129.0,3ZaYy2VND0-VUPc3DqBB_A
1439,Croc's Sports Bar,3.5,9,$$,63129.0,1yPJRGvPNU4voA6NBTVGOg
1440,Lucky China,3.0,21,$,63129.0,YgXBo2oMJXlDDafP6fqUTw
1441,Crusoe's Restaurant & Bar,3.0,10,$$,63129.0,8T0j1yPdYq_O4DktiH0Q9Q
1446,QDOBA Mexican Eats,3.0,22,$,63129.0,NujpqW9nibv2UID-hev-kw
1447,Cicis,3.0,23,$,63125.0,WK4PNl6XRW441EHrxQFEpg
1448,IHOP,2.0,63,$$,63129.0,JVI5tY_EcHlIFJkX5SlLVA
1495,Seoul Taco Food Truck,4.0,71,$,63130.0,02euPBQRCGkdt2AnJQzJUQ
1501,J Gilbert's Wood-Fired Steaks & Seafood St Louis,4.0,215,$$$,63131.0,IZv79jZv6el1sBHrG7426g
1508,Wan Fu Chinese Restaurant,4.0,73,$,63131.0,BqGhcuQhvWaTWj1sMA7qkQ
1510,BrickTop's,3.5,218,$$,63131.0,d3dw3YihB3WuU1Sb_i74-w
1511,The Village Bar,3.5,116,$,63131.0,CueuRgYurL6IBGybuvQN6w
1513,BRAVO! Cucina Italiana,3.5,147,$$,63131.0,bW3Z2Qp2rIIfZwBVP3j4Ng
1514,Circa STL,4.0,115,$$,63131.0,LhtzbTj2QSuNUXFszSKD8w
1515,Cafe Bistro,4.5,31,$$,63131.0,SATUtY_PGhTicpMwDF8nMg
1516,Sugo's Spaghetteria,3.5,180,$$,63131.0,FD5pfqrsH6bdodCkV-YI1g
1518,Assumption Greek Orthodox Church Luncheons,4.5,23,$,63131.0,N_6fTIcweG5Cq0UUw0_0GQ
1519,The Egg & I,3.5,91,$$,63131.0,7qqlNBz6x6tiwoj0KhycwA
1520,Which Wich,4.0,44,$,63131.0,1elddy31XiqFPVrvvd9QiQ
1523,Kar'is Surf and Sirloin,4.0,59,$$$,63131.0,VH3489ZLB_7Q5KOs-6daew
1524,Grassi's Ristorante & Deli,4.0,65,$,63131.0,noOgqxlc1eBRduRd_DlCxg
1525,Jersey Mike's Subs,4.0,26,$,63131.0,f4n75m71tbpnD7JlhbADvg
1526,Red Robin Gourmet Burgers and Brews,3.0,98,$$,63131.0,9xywJ1otUCj1kjiUGHSJCg
1527,Chef Hsu's Hunan Star,3.5,64,$$,63131.0,ETsopXa5Sk_pvfy3-grE9g
1528,California Pizza Kitchen at West County,3.5,62,$$,63131.0,SEWYaGpr7XxcLSQFYSV3iQ
1529,Rib City,3.5,47,$$,63131.0,fqjyT54A1Dw27-ua8ZqiPg
1542,Nordstrom Ebar Artisan Coffee,4.5,8,$$,63131.0,htQEdoqk04sv8tofoHHWfw
1549,Via Vino Enoteca,3.5,13,$$,63131.0,fbSJAh28V9BuriO7VlO2nA
1579,Ms. Piggies Smokehouse,4.0,102,$$,63132.0,X6ry8WkgUyBNPpNxIGpn5g
1593,SuWaller's Bar & Grill,4.5,42,$,63114.0,wYL89pek3sIg4PptNRnMFQ
1597,Honey Baked Ham Company,4.5,13,$,63132.0,9fajAXTAT1A_pcGakz64hA
1598,Bek Hee Restaurant,3.5,34,$,63132.0,6Qa6RlVcW0CvbMlVzYXvew
1599,J. McGraughs Bar & Grill,4.0,40,$$,63105.0,rTALf5ZKCsc8CDDxt_cn_A
1622,St. Louis Bubble Tea,3.5,210,$,63130.0,CVqpTp3Cmud3rwAuKj15gw
1625,Merhaba,4.5,32,$$,63130.0,MoepRQ_fkTbX3HyxfQJMUg
1626,The Pageant,3.5,194,$$,63112.0,Y48swatqDZVRbWy16ecR3A
1629,Eclipse Restaurant,3.5,161,$$,63112.0,ncuEphnQYscOB_KyUUsKfg
1630,Thai Country Cafe,3.5,155,$$,63130.0,L9sNYgV-TKTQdkaeEZBqEg
1631,Gyro House,4.0,113,$,63112.0,BJXK4B2N8CLoc__SoDNPjg
1632,The Melting Pot,3.5,176,$$$,63130.0,c-bNmSeRVifpRTegX2aGZg
1633,Turmeric,4.0,63,$$,63130.0,90u_o_0kd1Fh9ynU5brO3w
1634,Snow Factory,3.5,111,$$,63130.0,dSYsEujLjzHTEj3lXvSJsg
1635,Meshuggah Café,3.5,121,$,63130.0,wEI-j7yCt-voSHgbjgnhIg
1637,Bobo Noodle House,3.5,154,$$,63130.0,4HJoGhB4Svo-_7ecM-Cv5g
1638,FroYo Frozen Yogurt,3.5,113,$,63130.0,bLbjB2EeIQLFUS9ofKS-lw
1644,ZZA Pizza + Salad,4.0,74,$,63130.0,9P6yLs8Yi6WhbmBIiwvWhg
1645,Cursed Bikes & Coffee,4.5,37,$,63130.0,-sdxKwgP6209YUfoFiVuTQ
1646,Wacked Out Weiner,4.5,28,$$,63130.0,DS2XDLFAupA0Fvm2OLpXcw
1647,JUST Chicken,4.5,32,$$,63112.0,QXxe89rymWhK-Bnn1WXvkA
1650,Wingtips Lounge,5.0,41,$$,63145.0,CYkrmWef7QQM-l-92DKiSA
1655,OL' Henry Restaurant,4.0,41,$$,63134.0,-yu4koRugjxrnsey25oIuw
1656,Vino Volo,3.5,63,$$,63145.0,AD-CJ3g6_JjKAaJMb4tXqA
1661,Big Boyz Burgers and More,4.0,22,$,63134.0,Jv8lYSZPxY0rzkSpgo7BIw
1662,Schlafly Beer Bar & Grill,2.5,151,$$,63145.0,GJXGdJlCroyRTmCxsz3i6Q
1663,Lombardo's Restaurant,3.0,110,$$,63134.0,MZRvuUt9WUDI2hHFHyQi8w
1664,Young's Chinese Restaurant,5.0,12,$$,63134.0,SHHn2sz0_d188bEV3AkrIA
1668,Eero's,3.5,22,$$,63134.0,iTcHETJzAm1Vkz-tGDSEdw
1670,Pizza Studio,4.0,23,$$,63145.0,mUmk-jniuE54jlwQ7CQ7lw
1671,St. Louis Brewmasters Tap Room,2.5,75,$$,63145.0,bcqa1qoEEwphquiy1ssUXQ
1672,Ted Drewes Frozen Custard,4.5,12,$,63145.0,bPq8mgG3Lwkc8CZjRMqCpQ
1673,Yesterday's,3.5,32,$,63134.0,zs4vsJYsEx4hB-w3wp1Tvg
1674,American Airlines Admirals Club,3.5,25,$$,63044.0,joziEnj1kVdr6uUAE6kXog
1676,Mike Shannon's,2.5,97,$$,63145.0,LXIUiSsJHs9n5BGYcF2bAg
1680,Big L Chop Suey,4.0,15,$,63121.0,0upS_zVQ48_9WuTjxmwRqQ
1681,Eighteen76,2.0,65,$$,63145.0,p3j6OTfxVc6fBO9HnkAVhw
1682,Sun Restaurant,3.5,31,$,63042.0,7kZjWXFExQgqy_TheGOTOw
1683,El Comal,3.5,26,$$,63114.0,1YMF0G6kZKqCXlzMGqh5Rw
1685,Great American Bagel,2.5,48,$,63145.0,YMtSZKXAFVzk0IEdNG9zMw
1686,Dunkin Donuts - Baskin Robbins,3.0,23,$,63145.0,1i9ZqL4KwVP5L8F2E_aWhA
1687,China Moon,3.5,26,$,63114.0,PgRFPVpr7fDr4S4Blm9APg
