,Unnamed: 0,business_id,name,rating,zip_code,review_count,price
237,12,5o-jorn07AInbmlNlYGC0g,Dear Mama Coffee,4.5,10029.0,262,$
239,15,5olLs-K-_k_rWrrNLjvy0w,Spoon and Stable,4.5,55401.0,875,$$
240,6,5u27W_xHIKhVbws08lXXJg,Bryn Mawr Breakfast Club,4.5,60659.0,834,$$
242,0,5uZYUT0ZJeHhza52ZysSsw,Buen Vecino Café,4.5,918.0,39,$
243,0,5uji_stJoxfKX31sMlT3pQ,Palmilla Cocina Y Tequila,4.5,90254.0,1229,$$
244,17,5xuqyS6zIg5uXuK-fya5Kg,Keren Restaurant,4.5,20009.0,1077,$$
245,14,64i-2H8rLLs55RP89Ole4A,Bagel Pub,4.0,11215.0,446,$$
246,13,659g7RsTvusdWRhuiXOEvg,Hacienda San Pedro,4.5,909.0,113,$
248,5,682a0l1XVhUzT5ZyeCMg0A,Nugent's Tavern Irish Pub & Grill,4.0,7208.0,144,$$
249,19,6CaGhpvNWMazJZL1v_JkCA,PEQUE Vinos + Tapas Bar & Restaurant,4.0,10039.0,214,$$
250,8,6DFobber72AV0mnBV5KeQQ,Anne's Kitchen Table,4.5,19038.0,136,$$
251,0,6Dd4kTDiikEB3wQp___0fA,Taqueria Los Anaya,4.5,90016.0,1140,$$
252,1,6EiFN9NS9BQnqw8FXWiY4A,Forno Rosso Pizzeria Napoletana,4.5,60634.0,564,$
253,7,6GTaESIP0r1oFunFqqevsw,Cafe Gratitude - Larchmont,4.0,90004.0,2094,$$
254,2,6Guo-aozyLnQFtAuP8ZXZg,Queens Comfort,4.0,11103.0,2080,$$
256,0,6I28wDuMBR5WLMqfKxaoeg,Pike Place Chowder,4.5,98101.0,7148,$$
257,16,6KXJk2AWH3NxZBuCdkggVQ,Whipped Bakeshop,4.5,19125.0,238,$$
258,14,6KzJ3JEOQ4QrVbrrRtBxQw,Avli The Little Greek Tavern,4.0,11361.0,797,$$
260,4,6Pa3-9piblDJu0l8u84Jhg,Mi Mariachi Taqueria,4.5,7306.0,268,$$$$
261,14,6PzyzeiWjJ0fPpuKZffn9g,California Academy of Sciences,4.0,94118.0,3090,$$
262,10,6XTCsnjpa_fC_yjvvGbXQQ,LSTC Refectory,4.5,60615.0,78,$$
263,14,6XyIq0SJpt9uNwkgWlXfQg,Chiarello's Hamilton Food Market,4.5,8629.0,31,$$
264,16,6ZKNFPLWRIVWshUkMNlgng,Starbucks Reserve Roastery Seattle,4.5,98101.0,2810,$$
265,9,6ZPxDztZFqFK9ObMqUN2-g,Bad Saint,4.0,20010.0,590,$$$
266,1,6_LnAQQ0-mml8YgpfRjGuA,Saad's Halal Restaurant,4.5,19139.0,598,$
267,6,6_T2xzR74JqGCTPefAD8Tw,Morimoto,4.5,19106.0,1799,$$$$
268,15,6a_deomxlTJf4oXKxnAG3Q,Mas Alla Del Sol,4.5,60660.0,287,$$
269,2,6ajnOk0GcY9xbb5Ocaw8Gw,Barbuzzo,4.5,19107.0,2617,$$
270,14,6am8TZAFnvND52MOz-Yctg,Mama's On The Half Shell,4.0,21224.0,1136,$
271,17,6fJltLxQcLgO0owitrzlBQ,Cuba Cuba Cafe & Bar,4.5,80204.0,666,$$
272,5,6gLOmtYveXe1_YPdo-T9rw,Los Hermanos,4.5,20010.0,527,$
273,8,6hw-HPdP1oDpCbMHBLid-w,Taste of Lebanon Restaurant,4.5,60640.0,676,$
274,5,6i7KnRylm4bhPIApDFSVCg,Dave's Hot Chicken,4.5,90029.0,2714,$$
275,10,6olkhTUQghwU7SQBd0fcbg,Inka Wall,4.5,19082.0,61,$$
276,16,6qkpXsDKCY4t5qljkGIzvg,Ocean Diner,4.0,90254.0,657,$$
277,5,6rHNSpeKQ40JNAc-RGzBtA,Weaver's Coffee & Tea,4.5,94901.0,148,$
278,13,6t9i27Kmiz9MkjeH2kbZ8g,Acai Jungle Cafe,4.5,91502.0,778,$
279,7,6uCcRqFET5kCO41lg-jDgg,The Honor Bar,4.5,90212.0,1557,$
280,8,6vaAze9Fxuco249L3BhEdQ,112 Eatery,4.5,55401.0,1160,$$
281,6,71KPq7avHxrSwP3NBWBG_w,Whit's End,3.5,11694.0,230,$
